"","level","threshold","mean_f1"
"1",0.4,0.15,0.369306595005792
"2",0.4,0.1525,0.369602819441566
"3",0.4,0.155,0.369851361996287
"4",0.4,0.1575,0.369929436468625
"5",0.4,0.16,0.370086274945899
"6",0.4,0.1625,0.370450276702956
"7",0.4,0.165,0.370476237429093
"8",0.4,0.1675,0.370723592015393
"9",0.4,0.17,0.37026527446633
"10",0.4,0.1725,0.370081137022496
"11",0.4,0.175,0.370008784105822
"12",0.4,0.1775,0.369777477132994
"13",0.4,0.18,0.369518993534127
"14",0.55,0.15,0.369004963305894
"15",0.55,0.1525,0.369119968292084
"16",0.55,0.155,0.369364377593746
"17",0.55,0.1575,0.369486704192287
"18",0.55,0.16,0.3699024970878
"19",0.55,0.1625,0.369901132881216
"20",0.55,0.165,0.369747485729164
"21",0.55,0.1675,0.36988618682118
"22",0.55,0.17,0.370166195300374
"23",0.55,0.1725,0.370218280855914
"24",0.55,0.175,0.370008716952696
"25",0.55,0.1775,0.370129395891609
"26",0.55,0.18,0.369725686584887
"27",0.7,0.15,0.368634321983855
"28",0.7,0.1525,0.368729616130016
"29",0.7,0.155,0.369137019086476
"30",0.7,0.1575,0.369264503448657
"31",0.7,0.16,0.369458569574756
"32",0.7,0.1625,0.369441065852479
"33",0.7,0.165,0.369284619448086
"34",0.7,0.1675,0.369210349800553
"35",0.7,0.17,0.369331259088832
"36",0.7,0.1725,0.369435540811659
"37",0.7,0.175,0.369327287475434
"38",0.7,0.1775,0.369149562999644
"39",0.7,0.18,0.36915556234986
"40",0.85,0.15,0.369123531717688
"41",0.85,0.1525,0.369391432865644
"42",0.85,0.155,0.369465928964383
"43",0.85,0.1575,0.369666987725852
"44",0.85,0.16,0.370029291684938
"45",0.85,0.1625,0.370110023530066
"46",0.85,0.165,0.370194908378053
"47",0.85,0.1675,0.370343314918416
"48",0.85,0.17,0.370300710722588
"49",0.85,0.1725,0.370225666676819
"50",0.85,0.175,0.370157324991039
"51",0.85,0.1775,0.369990748031577
"52",0.85,0.18,0.369788891546877
"53",1,0.15,0.368845504632259
"54",1,0.1525,0.369158436943496
"55",1,0.155,0.369068804479767
"56",1,0.1575,0.36930532937884
"57",1,0.16,0.369407673606733
"58",1,0.1625,0.369485653765084
"59",1,0.165,0.369631195201995
"60",1,0.1675,0.369615548509067
"61",1,0.17,0.36971927299508
"62",1,0.1725,0.369636083160422
"63",1,0.175,0.3697925207567
"64",1,0.1775,0.36962742725851
"65",1,0.18,0.369200330613161
"66",0.3,0.15,0.369198291257443
"67",0.3,0.1525,0.369436405176769
"68",0.3,0.155,0.369686578117686
"69",0.3,0.1575,0.369891067260272
"70",0.3,0.16,0.369997602290848
"71",0.3,0.1625,0.370027685349814
"72",0.3,0.165,0.369965909279609
"73",0.3,0.1675,0.369742276853871
"74",0.3,0.17,0.369699151951287
"75",0.3,0.1725,0.369468529012249
"76",0.3,0.175,0.369388486765933
"77",0.3,0.1775,0.369315806388082
"78",0.3,0.18,0.369286433660357
"79",0.5,0.15,0.368866030820483
"80",0.5,0.1525,0.369165448119741
"81",0.5,0.155,0.369410176197861
"82",0.5,0.1575,0.369687128567546
"83",0.5,0.16,0.369687276185046
"84",0.5,0.1625,0.369456158069618
"85",0.5,0.165,0.369652426487252
"86",0.5,0.1675,0.369685936269221
"87",0.5,0.17,0.369879387089732
"88",0.5,0.1725,0.370192396218123
"89",0.5,0.175,0.37015882272834
"90",0.5,0.1775,0.369771461582291
"91",0.5,0.18,0.369573167011756
