"","subsample","threshold","mean_f1"
"1",0.55,0.155,0.374734607410945
"2",0.55,0.16,0.375509215545723
"3",0.55,0.165,0.376353313706312
"4",0.55,0.17,0.376762907382469
"5",0.55,0.175,0.377364484844079
"6",0.55,0.18,0.37763402182568
"7",0.55,0.185,0.377328001444539
"8",0.7,0.155,0.374617937948286
"9",0.7,0.16,0.375201165230015
"10",0.7,0.165,0.375931643899991
"11",0.7,0.17,0.376391190592283
"12",0.7,0.175,0.376707049909083
"13",0.7,0.18,0.376492902076232
"14",0.7,0.185,0.376622743922881
"15",0.85,0.155,0.374996317815856
"16",0.85,0.16,0.376097002007376
"17",0.85,0.165,0.376773248764181
"18",0.85,0.17,0.377205750206255
"19",0.85,0.175,0.377657723234307
"20",0.85,0.18,0.377365587446459
"21",0.85,0.185,0.377187455430621
