"","threshold","threshold.1","mean_f1"
"1",0.155,0.155,0.374818040493287
"2",0.1575,0.1575,0.375354395900179
"3",0.16,0.16,0.375588282979911
"4",0.1625,0.1625,0.375900588264136
"5",0.165,0.165,0.376162925619334
"6",0.1675,0.1675,0.376554721510042
"7",0.17,0.17,0.376754421752763
"8",0.1725,0.1725,0.376864428238789
"9",0.175,0.175,0.376938654986046
"10",0.1775,0.1775,0.377247801768861
"11",0.18,0.18,0.377287162093698
"12",0.1825,0.1825,0.377168722684016
"13",0.185,0.185,0.377208123319554
"14",0.1875,0.1875,0.377186160160895
"15",0.19,0.19,0.376806654020389
